name,price,location,link,condition,cylinders,drive,fuel,odometer,paint color,title status,transmission,type,VIN,year,age,make,model
2009 Ford Escape V6 AWD,8995,Richmond,https://www.craigslist.org/view/d/richmond-2009-ford-escape-v6-awd/3PG28CxKxqxErDuMEGnPBQ,,,,gas,184968,,clean,automatic,SUV,,2009.0,17.0,Ford,Escape
2016 Kia Sedona (No accidents),11995,Richmond,https://www.craigslist.org/view/d/richmond-2016-kia-sedona-no-accidents/sKrASuvQyRjwrnSBqjjQno,,,,gas,154015,,clean,automatic,minivan,,2016.0,10.0,Kia,Sedona
2016 Mazda CX-9 GT AWD,19995,Surrey,https://www.craigslist.org/view/d/richmond-2016-mazda-cx-gt-awd/uLXuxB18eUCwRpg7svewHT,,,,gas,120454,,clean,automatic,,,2016.0,10.0,Mazda,CX-9
"""2009 Chevrolet Aveo – Well Maintained | Service Records Available",3600,"Vancouver, BC",https://www.craigslist.org/view/d/west-vancouver-2009-chevrolet-aveo-well/okdgngjh1jsFZFa5jXAfvj,like new,4.0,fwd,gas,155954,grey,clean,automatic,sedan,,2009.0,17.0,Chevrolet,Aveo
2008 subaru legecy,6500,Coquitlam,https://www.craigslist.org/view/d/port-coquitlam-central-2008-subaru/nUMn85xXio7TzVXARu1cjt,excellent,4.0,4wd,gas,165000,brown,clean,automatic,sedan,,2008.0,18.0,Subaru,
"1999 Toyota 4runner SR5 Rarity, 57,400 kms",34000,city of vancouver,https://www.craigslist.org/view/d/vancouver-1999-toyota-4runner-sr5/rNvxnwgpY3XBDNU3tAJFeL,,,,gas,57400,,clean,automatic,SUV,,1999.0,27.0,Toyota,4Runner
2022 Ford Explorer Platinum w/ rooftop cargo carrier,43900,Port Coquitlam,https://www.craigslist.org/view/d/port-coquitlam-2022-ford-explorer/rjEuQiuP1FSEa4LmBufdnp,excellent,6.0,4wd,gas,53080,grey,clean,automatic,SUV,,2022.0,4.0,Ford,Explorer
1972 chevrolet c10,19999,chilliwack,https://www.craigslist.org/view/d/chilliwack-central-1972-chevrolet-c10/fe99hMeHkhYBrrgqb6KXUv,,,,gas,123,,clean,automatic,,,1972.0,54.0,Chevrolet,
2008 Chrysler Aspen Limited 4X4 HEMI -  7 Seater,3500,Delta BC,https://www.craigslist.org/view/d/delta-east-2008-chrysler-aspen-limited/xsHTy3zDSbA2SiaZvjkT6u,good,8.0,4wd,gas,296000,grey,clean,automatic,SUV,,2008.0,18.0,Chrysler,Aspen
2002 Mercedes SLK320,8000,North Burnaby,https://www.craigslist.org/view/d/burnaby-2002-mercedes-slk320/i9XkhRF345PqN9eXpCzANk,excellent,6.0,rwd,gas,98000,silver,clean,automatic,convertible,WDBKK65F32F262497,2002.0,24.0,Mercedes-Benz,SLK 320
1998 Mercedes SLK230,8000,North Burnaby,https://www.craigslist.org/view/d/burnaby-1998-mercedes-slk230/w3HVNDxcjmi8bzSQzYYRSX,excellent,4.0,rwd,gas,64000,silver,clean,automatic,sedan,WDB1704471F101790,1998.0,28.0,Mercedes-Benz,SLK 230
2018 Honda Civic Touring - Clean Title,18800,Surrey,https://www.craigslist.org/view/d/surrey-2018-honda-civic-touring-clean/cKyd5JUdLJwwuKkjQwUpqY,excellent,4.0,fwd,gas,89000,black,clean,automatic,sedan,,2018.0,8.0,Honda,Civic
