name,price,odometer,is_dealer,link,condition,fuel,paint color,title status,transmission,type,cylinders,drive,location,VIN,est. monthly pmt,year,age,make,model,City (L/100 km),Highway (L/100 km),Combined (L/100 km),market,km_per_year,usage_ratio,usage_category,annual_fuel_cost
2021 Toyota RAV4 Prime SE AWD SUV • LOW KMS • Clean Carfax,35798,108742.0,1,https://www.craigslist.org/view/d/surrey-east-2021-toyota-rav4-prime-se/rwegxULYdqMaj5B5hijUdd,excellent,gas,white,clean,automatic,SUV,4.0,4wd,LANGLEY | $273+ Bi-Weekly Financing OAC,,,2021.0,5.0,Toyota,RAV4,8.8,6.9,7.9,Japanese,21748.4,1.45,Above Average,2133.0
"2025 Mitsubishi Eclipse Cross ES S-AWC: HEATED SEATS, LOW LOW KMS",26497,3075.0,1,https://www.craigslist.org/view/d/surrey-east-2025-mitsubishi-eclipse/rKAUscoKbZqMiBqPFt3bEd,excellent,gas,grey,clean,automatic,SUV,4.0,4wd,LANGLEY | $238+ Bi-Weekly Financing OAC,,,2025.0,1.0,Mitsubishi,Eclipse Cross,9.6,8.9,9.3,Japanese,3075.0,0.2,Ultra Low/Weekend,2511.0
2020 Honda CR-V BLACK EDITION SUV • NO ACCIDENTS • Low Mileage,31397,70329.0,1,https://www.craigslist.org/view/d/surrey-east-2020-honda-cr-black-edition/9ZgbbCUTomaimXmfnjgBL4,excellent,gas,white,clean,automatic,SUV,4.0,4wd,LANGLEY | $252+ Bi-Weekly Financing OAC,,,2020.0,6.0,Honda,CR-V,8.5,7.2,7.9,Japanese,11721.5,0.78,Below Average,2133.0
1978 Porsche 911 SC Targa,125000,172000.0,1,https://www.craigslist.org/view/d/burnaby-1978-porsche-911-sc-targa/piTjEEboWsty2mwoVEFoxY,excellent,gas,white,clean,manual,coupe,6.0,rwd,Burnaby,,,1978.0,48.0,Porsche,Targa,,,,European,3583.3,0.24,Ultra Low/Weekend,
2022 Toyota Corolla LE Sedan • LOCAL • ADAPTIVE CRUISE CONTROL,19497,102448.0,1,https://www.craigslist.org/view/d/surrey-east-2022-toyota-corolla-le/ouhawemmuzpXW8EKMuNzyS,excellent,gas,grey,clean,automatic,sedan,4.0,fwd,LANGLEY | $175+ Bi-Weekly Financing OAC,,,2022.0,4.0,Toyota,Corolla,7.9,6.0,7.1,Japanese,25612.0,1.71,Highway/Heavy Commute,1917.0
2022 Toyota Corolla LE Sedan • LOW KMS • Clean Title,22999,40265.0,1,https://www.craigslist.org/view/d/surrey-east-2022-toyota-corolla-le/fByCHrZwRWZA3qhBL9R7s7,excellent,gas,white,clean,automatic,sedan,4.0,fwd,LANGLEY | $189+ Bi-Weekly Financing OAC,,,2022.0,4.0,Toyota,Corolla,7.9,6.0,7.1,Japanese,10066.2,0.67,Below Average,1917.0
2011 Subaru Forester AWD,9999,175000.0,1,https://www.craigslist.org/view/d/surrey-2011-subaru-forester-awd/tAFQYhJQN6ozExqKuTdH6y,like new,gas,red,clean,automatic,SUV,4.0,fwd,surrey,,,2011.0,15.0,Subaru,Forester,11.3,8.9,10.2,Japanese,11666.7,0.78,Below Average,2754.0
2013 Ford E-150,13900,183000.0,1,https://www.craigslist.org/view/d/surrey-2013-ford-150/pcEYdfCTDM4shknGDTkCDC,excellent,gas,white,clean,automatic,van,8.0,rwd,surrey,,,2013.0,13.0,Ford,E150,22.7,17.55,20.35,American,14076.9,0.94,Average,5494.0
2007 Volkswagen Rabbit - LOW KMS !,8999,96000.0,1,https://www.craigslist.org/view/d/surrey-2007-volkswagen-rabbit-low-kms/c1c6gsXCh1jjuxoFNWphgF,like new,gas,white,clean,automatic,hatchback,5.0,fwd,surrey,,,2007.0,19.0,Volkswagen,Rabbit,12.0,8.55,10.45,European,5052.6,0.34,Ultra Low/Weekend,2822.0
2005 Jeep TJ,12900,206000.0,1,https://www.craigslist.org/view/d/surrey-2005-jeep-tj/gazAqZGX1QBt7uD5K2eYKn,like new,gas,black,clean,manual,SUV,4.0,4wd,surrey,,,2005.0,21.0,Jeep,TJ,17.700000000000003,13.95,16.0,American,9809.5,0.65,Below Average,4320.0
2024 Mazda CX-90 PHEV GT AWD SUV • 7 SEATER • Clean Carfax,42672,57850.0,1,https://www.craigslist.org/view/d/surrey-east-2024-mazda-cx-90-phev-gt/iJ3tHXHeEry517g7btm352,excellent,gas,red,clean,automatic,SUV,4.0,4wd,LANGLEY | $343+ Bi-Weekly Financing OAC,,,2024.0,2.0,Mazda,CX-90,10.1,8.45,9.4,Japanese,28925.0,1.93,Highway/Heavy Commute,2538.0
2015 Honda Civic,12900,160000.0,1,https://www.craigslist.org/view/d/surrey-2015-honda-civic/1HTBCDWyRhbzcBLAxS99aT,like new,gas,custom,clean,automatic,sedan,4.0,fwd,surrey,,,2015.0,11.0,Honda,Civic,8.0,6.15,7.15,Japanese,14545.5,0.97,Average,1931.0
2022 Honda CR-V LX AWD SUV • NO ACCIDENTS • BC LOCAL,29497,75340.0,1,https://www.craigslist.org/view/d/surrey-east-2022-honda-cr-lx-awd-suv-no/9pCD8D2eMVKid57VXvdzG4,excellent,gas,grey,clean,automatic,SUV,4.0,4wd,LANGLEY | $238+ Bi-Weekly Financing OAC,,,2022.0,4.0,Honda,CR-V,8.5,7.2,7.9,Japanese,18835.0,1.26,Above Average,2133.0
2022 Honda Civic TOURING Sedan • BOSE SOUND • Clean Carfax,30671,42800.0,1,https://www.craigslist.org/view/d/surrey-east-2022-honda-civic-touring/tpgG1ZZm6uSzwfgS5nrxFg,excellent,gas,white,clean,automatic,sedan,4.0,fwd,LANGLEY | $252+ Bi-Weekly Financing OAC,,,2022.0,4.0,Honda,Civic,7.9,6.3,7.15,Japanese,10700.0,0.71,Below Average,1931.0
2015 Honda Civic,14900,105000.0,1,https://www.craigslist.org/view/d/surrey-2015-honda-civic/wbGQ6UAwfAwtm5Y94n5rra,like new,gas,blue,clean,automatic,sedan,4.0,fwd,surrey,,,2015.0,11.0,Honda,Civic,8.0,6.15,7.15,Japanese,9545.5,0.64,Below Average,1931.0
