name,price,odometer,is_dealer,link,condition,fuel,paint color,title status,transmission,type,cylinders,drive,location,VIN,est. monthly pmt
2015 Chrysler 200S,6300,"184,000",0,https://www.craigslist.org/view/d/surrey-north-2015-chrysler-200s/kGqXV5dFRBYXoaziwMeL5W,good,gas,,clean,automatic,,6 cylinders,,Surrey,,
"2017 Toyota Rav4 LE+ HYBRID AWD, 117K Km only",26900,"117,800",0,https://www.craigslist.org/view/d/richmond-2017-toyota-rav4-le-hybrid-awd/tiocPMhTuWbTtHua9vxipJ,excellent,hybrid,,clean,automatic,SUV,4 cylinders,4wd,Richmond,JTMRJREV9HD145457,
"2004 BMW M3 E46 CONVERTIBLE, CALIFORNIA CAR",35000,"100,000",0,https://www.craigslist.org/view/d/central-saanich-2004-bmw-m3-e46/pzQvcD8Pzptftzd5r53YQE,,gas,,clean,automatic,convertible,,,Central,,
F250 XLT,10999,"311,193",0,https://www.craigslist.org/view/d/north-vancouver-f250-xlt/4jwQUb2wZv5o913aRam4oH,excellent,gas,white,clean,automatic,pickup,8 cylinders,4wd,North Vancouver,,
"1995 Chevrolet Caprice Classic, LT1 (5.7L V8)",6800,"260,000",0,https://www.craigslist.org/view/d/burnaby-1995-chevrolet-caprice-classic/nGxAdRsxv9xZT1F7JmQqPY,fair,gas,,clean,automatic,sedan,8 cylinders,rwd,Burnaby,,
Lexus GX 460 2010 - New A/C,23900,"282,000",0,https://www.craigslist.org/view/d/west-vancouver-lexus-gx-new-c/qL7GqsdKq3HHmNpW9Pmgib,good,gas,silver,clean,automatic,SUV,8 cylinders,4wd,West Vancouver,,
2011 Scion XB,9800,"113,500",0,https://www.craigslist.org/view/d/vancouver-2011-scion-xb/69q3iKuDDk1Zk61HCSGnzq,excellent,gas,,clean,manual,wagon,4 cylinders,fwd,Vancouver,,
1997 Mustang Cobra Convertible,29500,"72,871",0,https://www.craigslist.org/view/d/burnaby-1997-mustang-cobra-convertible/odgJMPwZkAviXoJP188o26,excellent,gas,white,clean,manual,convertible,8 cylinders,rwd,Burnaby,,
2006 TPYOTA HIGHLANDER HYBRID,4900,"144,354",0,https://www.craigslist.org/view/d/vancouver-2006-tpyota-highlander-hybrid/qstsBsQB2LV8dWyQyb9s9k,excellent,gas,blue,rebuilt,automatic,SUV,4 cylinders,fwd,Vancouver,,
2005 Ford Escape XLT,2400,"288,000",0,https://www.craigslist.org/view/d/burnaby-2005-ford-escape-xlt/jWhjGDpFjXBb4aAdydqEjP,,gas,,clean,automatic,SUV,,,Burnaby,,
"2008 Mercedes-Benz E320 BlueTEC Sedan – 199,000 km – Clean & Well Main",7900,"199,000",0,https://www.craigslist.org/view/d/burnaby-2008-mercedes-benz-e320-bluetec/5QNwV7CURbcW7UfCT14ryX,excellent,diesel,,clean,automatic,sedan,,,Burnaby,,
2013 Chevrolet Trax 2LT AWD,3300,"257,000",0,https://www.craigslist.org/view/d/burnaby-2013-chevrolet-trax-2lt-awd/6uFZNWF1G16DifPG2rwd1k,excellent,gas,,clean,automatic,SUV,,,Burnaby,,
