name,price,location,link,condition,cylinders,drive,fuel,odometer,paint color,title status,transmission,type,VIN
2026 Nissan Sentra SV Premium,"$30,610",north shore,https://www.craigslist.org/view/d/north-vancouver-southwest-2026-nissan/hhTnDvdhA3qa4d4CrFqbTB,new,4 cylinders,fwd,gas,25,,clean,automatic,sedan,
2026 Nissan Sentra SR,"$30,455",north shore,https://www.craigslist.org/view/d/north-vancouver-southwest-2026-nissan/suhoRBZgrmcZuedzsu8W6L,new,4 cylinders,fwd,gas,25,white,clean,automatic,sedan,
Clean Title 1998 Buick Regal LS - (Automatic),"$2,500",north shore,https://www.craigslist.org/view/d/north-vancouver-clean-title-1998-buick/s6WePkYuDwY6jrVQRnuWBs,excellent,6 cylinders,fwd,gas,"226,000",,clean,automatic,sedan,
2018 Land Rover Sport HSE,"$31,874",north shore,https://www.craigslist.org/view/d/north-vancouver-southwest-2018-land/n2NDh21q4LdZd1rehxJqMf,excellent,6 cylinders,4wd,diesel,"120,676",white,clean,automatic,SUV,
Mazda 3 2014 200k rebuild serviced,"$5,400",city of vancouver,https://www.craigslist.org/view/d/burnaby-mazda-rebuild-serviced/3jpQ2JS2UHxLFMHWsc29qB,,,,gas,"225,000",,rebuilt,automatic,sedan,
2004 Saab 9-5 Wagon,"$1,800",Vancouver,https://www.craigslist.org/view/d/vancouver-2004-saab-5-wagon/pCMcTSyjNtdPo63WEFoJTd,good,4 cylinders,,gas,"194,190",blue,clean,automatic,wagon,
2018 Mercedes-Benz GLE,"$31,888",Coquitlam,https://www.craigslist.org/view/d/coquitlam-2018-mercedes-benz-gle/bSewpR8RDGsEiSiCWc4q1V,like new,6 cylinders,4wd,gas,"65,000",brown,clean,automatic,SUV,
** 2012 AUDI Q5 PREMIUM MODEL -3.2 QUATTRO **,"$3,600",Vancouver,https://www.craigslist.org/view/d/vancouver-audi-q5-premium-model-32/wjJyVnrq29Um7hPw9HT5QW,,6 cylinders,4wd,gas,"242,400",,clean,automatic,SUV,
2004 BMW 325CI Convertible low kms!,"$7,800",Central Richmond/Brighouse Station,https://www.craigslist.org/view/d/richmond-2004-bmw-325ci-convertible-low/uHX6LNcGGi7YVDDaQMqHAk,excellent,,,gas,"136,000",,clean,automatic,convertible,
2001 honda accord,"$3,000",coquitlam,https://www.craigslist.org/view/d/coquitlam-2001-honda-accord/kzybWqmaefFqxQyAz5sx6n,like new,4 cylinders,,gas,"260,000",,clean,automatic,sedan,
2018 Mitsubishi outlander PHEV,"$13,900",New Westminster,https://www.craigslist.org/view/d/new-westminster-northeast-2018/6JBUsmjcMS2wYhPM2Fwo3t,good,other,4wd,hybrid,"207,000",silver,clean,automatic,SUV,
Mercedes E550 AMG Edition,"$13,000",Port Moody,https://www.craigslist.org/view/d/port-moody-mercedes-e550-amg-edition/cagSXRAiQneNZPAKSbP1zz,like new,8 cylinders,rwd,gas,"166,800",white,clean,automatic,coupe,
2026 Hyundai Venue Ultimate! Only 4500km,"$26,995",Maple Ridge,https://www.craigslist.org/view/d/maple-ridge-2026-hyundai-venue-ultimate/eVmoLB5kd6fdtU3Axz4ie4,like new,4 cylinders,fwd,gas,"4,500",black,clean,automatic,SUV,
2018 Subaru WRX STi,"$32,995",Maple Ridge,https://www.craigslist.org/view/d/maple-ridge-2018-subaru-wrx-sti/cbkauLik6p9H2AMNQ3B3ic,like new,4 cylinders,4wd,gas,"93,850",blue,clean,manual,sedan,
2025 Honda Civic Touring Hybrid,"$34,995",Maple Ridge,https://www.craigslist.org/view/d/maple-ridge-2025-honda-civic-touring/4ed1AfbkSawtTbzSSRPhXb,like new,4 cylinders,fwd,gas,"24,200",white,clean,automatic,sedan,
2017 Ford Escape Titanium FWD,"$12,995",Maple Ridge,https://www.craigslist.org/view/d/maple-ridge-2017-ford-escape-titanium/iEbB2SYH1K2ZatJ1n9ytNk,like new,4 cylinders,fwd,gas,"130,500",brown,clean,automatic,SUV,
2023 Kia Forte EX+ (Super clean),"$20,995",Port Coquitlam,https://www.craigslist.org/view/d/maple-ridge-2023-kia-forte-ex-super/hLzTwi3vkeeHuH3qzXE9Hy,like new,4 cylinders,fwd,gas,"57,500",black,clean,automatic,sedan,
2021 Nissan Qashqai S AWD,"$19,995",Port Coquitlam,https://www.craigslist.org/view/d/maple-ridge-2021-nissan-qashqai-awd/rSCB2B6t721DyY1QyiC6bP,excellent,4 cylinders,4wd,gas,"67,800",white,clean,automatic,SUV,
2025 Mazda CX-50 GS-L,"$35,995",Port Coquitlam,https://www.craigslist.org/view/d/maple-ridge-2025-mazda-cx-50-gs/oZ4FLcWEGyDDw2zRkyXWc4,like new,4 cylinders,4wd,gas,"47,800",grey,clean,automatic,SUV,
2016 Honda Accord V6 Touring coupe,"$24,995",Port Coquitlam,https://www.craigslist.org/view/d/maple-ridge-2016-honda-accord-v6/aumHjcWCo6Jzt9ZcFzEA6K,like new,6 cylinders,fwd,gas,"82,000",white,clean,automatic,coupe,
Fully loaded BMW 3-series,"$9,800",Burnaby,https://www.craigslist.org/view/d/burnaby-fully-loaded-bmw-series/kB8MJDFnKvhfWbon5r9CB7,excellent,4 cylinders,4wd,gas,"142,100",white,clean,automatic,sedan,
2007 Audi S8 V10,"$21,900",Port Moody,https://www.craigslist.org/view/d/port-moody-2007-audi-s8-v10/1FE5wW2BrRoMjX6jDg3TWR,excellent,10 cylinders,4wd,gas,"138,000",grey,clean,automatic,sedan,
1967 Firebird Convertible ( Trade ),"$35,000",north shore,https://www.craigslist.org/view/d/north-vancouver-southwest-1967-firebird/fvwWdt3M2xhfgGugV8XLm2,excellent,8 cylinders,rwd,gas,300,black,clean,manual,convertible,
1999 Land Rover Discovery 2,"$5,500",Richmond,https://www.craigslist.org/view/d/richmond-1999-land-rover-discovery/dA3oUCiAqAL9hkP5GZWFLy,good,,,gas,"220,000",,clean,automatic,SUV,
1995 SN95 Mustang GT,"$7,000",north shore,https://www.craigslist.org/view/d/north-vancouver-southwest-1995-sn95/wyiArJaT9eckxP8X4HQBPk,good,8 cylinders,rwd,gas,300,green,clean,manual,coupe,
2006 Ford F-550,"$14,500",Delta,https://www.craigslist.org/view/d/delta-2006-ford-550/vnUXjRw46CoHdXmRw5rhyx,,10 cylinders,rwd,gas,"256,656",white,clean,automatic,truck,1FDAW56Y26EA60883
2011 dodge avenger sxt ac cold 4cyl gas saver,"$2,800",delta/surrey/langley,https://www.craigslist.org/view/d/surrey-east-2011-dodge-avenger-sxt-ac/cgiEgCyDzjTz16fGW57KtT,,,,gas,"90,000",,clean,automatic,,
2011 Chevrolet Suburban LTZ XL 7 seater 5.3L,"$5,999",delta/surrey/langley,https://www.craigslist.org/view/d/surrey-east-2011-chevrolet-suburban-ltz/1R4mVSGSahgDdUNyAAsfNA,,8 cylinders,,gas,"140,000",,clean,automatic,SUV,
